Date,gdp_real,exports,trade_balance,jobs,unemployment,total_retail_sales,industrial_production
2019-01-01,20431.641,2540.244,-48785.0,7502.0,4.0,430246.0,120.0502
2019-02-01,20431.641,2540.244,-47570.0,7066.0,3.8,431194.0,109.9554
2019-03-01,20431.641,2540.244,-48154.0,7317.0,3.8,438196.0,104.4465
2019-04-01,20602.275,2547.448,-49769.0,7272.0,3.7,437735.0,88.2558
2019-05-01,20602.275,2547.448,-51047.0,7275.0,3.6,442514.0,92.623
2019-06-01,20602.275,2547.448,-48703.0,7194.0,3.6,442116.0,99.6883
2019-07-01,20843.322,2532.405,-48436.0,7042.0,3.7,445304.0,113.9186
2019-08-01,20843.322,2532.405,-48676.0,7178.0,3.6,448519.0,112.3547
2019-09-01,20843.322,2532.405,-44400.0,7124.0,3.5,444555.0,103.1333
2019-10-01,20985.448,2537.466,-41305.0,7289.0,3.6,445627.0,93.8206
2019-11-01,20985.448,2537.466,-38786.0,6888.0,3.6,449040.0,99.9782
2019-12-01,20985.448,2537.466,-43639.0,6699.0,3.6,449643.0,109.9263
2020-01-01,20693.238,2416.181,-43562.0,7124.0,3.6,447774.0,112.9689
2020-02-01,20693.238,2416.181,-39931.0,6966.0,3.5,447972.0,106.6252
2020-03-01,20693.238,2416.181,-42374.0,5894.0,4.4,420954.0,96.5893
2020-04-01,19056.617,1814.401,-51888.0,4606.0,14.8,370296.0,86.1592
2020-05-01,19056.617,1814.401,-53995.0,5612.0,13.2,437957.0,87.3142
2020-06-01,19056.617,1814.401,-49161.0,6129.0,11.0,465800.0,99.7878
2020-07-01,20548.793,2105.083,-58882.0,6530.0,10.2,471873.0,115.2094
2020-08-01,20548.793,2105.083,-61843.0,6429.0,8.4,473696.0,111.9436
2020-09-01,20548.793,2105.083,-57002.0,6511.0,7.8,482702.0,98.0642
2020-10-01,20771.691,2268.891,-61126.0,6798.0,6.9,480763.0,91.7288
2020-11-01,20771.691,2268.891,-64349.0,6820.0,6.7,478079.0,92.992
2020-12-01,20771.691,2268.891,-61928.0,6773.0,6.7,485949.0,112.6681
2021-01-01,21058.379,2381.224,-62826.0,7204.0,6.4,501604.0,116.9989
2021-02-01,21058.379,2381.224,-65630.0,7752.0,6.2,488805.0,114.1177
2021-03-01,21058.379,2381.224,-65658.0,8470.0,6.1,539607.0,98.7179
2021-04-01,21389.005,2505.032,-65115.0,9356.0,6.1,542199.0,87.6118
2021-05-01,21389.005,2505.032,-65779.0,9905.0,5.8,536589.0,89.7311
2021-06-01,21389.005,2505.032,-71187.0,10298.0,5.9,540152.0,104.2213
2021-07-01,21571.421,2570.103,-69169.0,11049.0,5.4,528600.0,112.5363
2021-08-01,21571.421,2570.103,-72588.0,10956.0,5.1,532477.0,114.2149
2021-09-01,21571.421,2570.103,-74657.0,10879.0,4.7,536651.0,100.5376
2021-10-01,21960.388,2765.36,-66003.0,11341.0,4.5,545361.0,91.6349
2021-11-01,21960.388,2765.36,-79425.0,11119.0,4.2,551082.0,97.9335
2021-12-01,21960.388,2765.36,-79238.0,11417.0,3.9,547277.0,108.1238
2022-01-01,21903.85,2848.698,-83599.0,11238.0,4.0,560257.0,125.6794
2022-02-01,21903.85,2848.698,-84685.0,11661.0,3.8,563777.0,113.6572
2022-03-01,21903.85,2848.698,-99398.0,12134.0,3.7,574485.0,102.5691
2022-04-01,21919.222,3071.551,-82878.0,11881.0,3.7,580943.0,91.3843
2022-05-01,21919.222,3071.551,-82157.0,11483.0,3.6,579844.0,94.3582
2022-06-01,21919.222,3071.551,-79785.0,11256.0,3.6,585556.0,105.0858
2022-07-01,22066.784,3102.55,-68396.0,11610.0,3.5,579267.0,116.0599
2022-08-01,22066.784,3102.55,-66959.0,10148.0,3.6,581196.0,114.7776
2022-09-01,22066.784,3102.55,-67781.0,10812.0,3.5,579446.0,100.9932
2022-10-01,22249.459,3046.718,-74773.0,10488.0,3.6,585006.0,91.0842
2022-11-01,22249.459,3046.718,-62798.0,10619.0,3.6,576356.0,99.8793
2022-12-01,22249.459,3046.718,-70521.0,10876.0,3.5,569119.0,118.3698
2023-01-01,22403.435,3060.562,-68800.0,10393.0,3.5,591964.0,115.4409
2023-02-01,22403.435,3060.562,-69202.0,9846.0,3.6,586165.0,105.6466
2023-03-01,22403.435,3060.562,-58587.0,9572.0,3.5,578812.0,104.3278
2023-04-01,22539.418,2995.524,-71110.0,9992.0,3.4,583874.0,89.7288
2023-05-01,22539.418,2995.524,-65814.0,9310.0,3.6,586286.0,91.7973
2023-06-01,22539.418,2995.524,-65163.0,9191.0,3.6,588670.0,100.7517
