,index,unemp
0,2019-01-01 00:00:00,4.0
1,2019-02-01 00:00:00,3.8
2,2019-03-01 00:00:00,3.8
3,2019-04-01 00:00:00,3.7
4,2019-05-01 00:00:00,3.6
5,2019-06-01 00:00:00,3.6
6,2019-07-01 00:00:00,3.7
7,2019-08-01 00:00:00,3.6
8,2019-09-01 00:00:00,3.5
9,2019-10-01 00:00:00,3.6
10,2019-11-01 00:00:00,3.6
11,2019-12-01 00:00:00,3.6
12,2020-01-01 00:00:00,3.6
13,2020-02-01 00:00:00,3.5
14,2020-03-01 00:00:00,4.4
15,2020-04-01 00:00:00,14.8
16,2020-05-01 00:00:00,13.2
17,2020-06-01 00:00:00,11.0
18,2020-07-01 00:00:00,10.2
19,2020-08-01 00:00:00,8.4
20,2020-09-01 00:00:00,7.8
21,2020-10-01 00:00:00,6.9
22,2020-11-01 00:00:00,6.7
23,2020-12-01 00:00:00,6.7
24,2021-01-01 00:00:00,6.4
25,2021-02-01 00:00:00,6.2
26,2021-03-01 00:00:00,6.1
27,2021-04-01 00:00:00,6.1
28,2021-05-01 00:00:00,5.8
29,2021-06-01 00:00:00,5.9
30,2021-07-01 00:00:00,5.4
31,2021-08-01 00:00:00,5.1
32,2021-09-01 00:00:00,4.7
33,2021-10-01 00:00:00,4.5
34,2021-11-01 00:00:00,4.2
35,2021-12-01 00:00:00,3.9
36,2022-01-01 00:00:00,4.0
37,2022-02-01 00:00:00,3.8
38,2022-03-01 00:00:00,3.7
39,2022-04-01 00:00:00,3.7
40,2022-05-01 00:00:00,3.6
41,2022-06-01 00:00:00,3.6
42,2022-07-01 00:00:00,3.5
43,2022-08-01 00:00:00,3.6
44,2022-09-01 00:00:00,3.5
45,2022-10-01 00:00:00,3.6
46,2022-11-01 00:00:00,3.6
47,2022-12-01 00:00:00,3.5
48,2023-01-01 00:00:00,3.5
49,2023-02-01 00:00:00,3.6
50,2023-03-01 00:00:00,3.5
51,2023-04-01 00:00:00,3.4
52,2023-05-01 00:00:00,3.6
53,2023-06-01 00:00:00,3.6
54,2023-07-01 00:00:00,3.5
55,2023-08-01 00:00:00,3.7
56,2023-09-01 00:00:00,3.8
57,2023-10-01 00:00:00,3.9
58,2023-11-01 00:00:00,3.7
59,2023-12-01 00:00:00,3.8
60,2024-01-01 00:00:00,3.7
61,2024-02-01 00:00:00,3.9
62,2024-03-01 00:00:00,3.9
63,2024-04-01 00:00:00,3.9
64,2024-05-01 00:00:00,4.0
65,2024-06-01 00:00:00,4.1
66,2024-07-01 00:00:00,4.2
67,2024-08-01 00:00:00,4.2
68,2024-09-01 00:00:00,4.1
69,2024-10-01 00:00:00,4.1
70,2024-11-01 00:00:00,4.2
71,2024-12-01 00:00:00,4.1
72,2025-01-01 00:00:00,4.0
73,2025-02-01 00:00:00,4.1
74,2025-03-01 00:00:00,4.2
75,2025-04-01 00:00:00,4.2
76,2025-05-01 00:00:00,4.2
77,2025-06-01 00:00:00,4.1
